Name,MarketCap,Watchlist
Linear,"$60,224,683","68,761"
Ambire AdEx,"$60,604,657","226,287"
RFOX,"$60,667,800","59,264"
LCX,"$61,161,766","25,036"
MiL.k,"$60,869,178","4,435"
Flamingo,"$61,085,529","32,256"
ONUS,"$61,167,292","3,343"
Ribbon Finance,"$61,124,764","9,099"
RChain,"$60,832,051","4,891"
Harvest Finance,"$59,758,240","23,905"
Thunder Token,"$61,502,932","17,096"
Ethernity Chain,"$61,407,684","67,327"
Bancor,"$571,512,981","62,914"
Solanium,"$61,628,448","55,114"
Automata Network,"$62,128,918","3,477,753"
Adshares,"$62,409,255","15,124"
Samoyedcoin,"$62,741,073","43,046"
Phala Network,"$60,167,912","182,291"
MonaCoin,"$62,748,422","12,298"
Wanchain,"$63,579,310","40,593"
RichQUACK.com,"$64,993,120","1,483,747"
Ampleforth Governance Token,"$63,818,150","18,789"
Cratos,"$63,950,629","231,225"
VVS Finance,"$64,437,437","44,548"
XCAD Network,"$65,358,892","21,687"
TitanSwap,"$64,925,329","6,094"
Klever,"$65,273,096","38,699"
Acala Token,"$65,282,694","60,542"
Komodo,"$66,020,844","33,243"
Somnium Space Cubes,"$67,332,692","20,705"
EverRise,"$66,601,253","20,368"
ZB Token,"$67,450,946","4,054"
IRISnet,"$67,495,998","24,732"
Elastos,"$68,256,701","20,401"
DeFine,"$62,315,940","3,044"
SafePal,"$67,734,096","57,442"
DIA,"$62,011,468","54,024"
Terra Virtua Kolect,"$68,005,668","70,195"
Loom Network,"$68,828,205","27,024"
Toko Token,"$69,501,159","124,216"
Elitium,"$68,937,007","2,495"
ankrETH,"$69,514,730","2,007"
GuildFi,"$69,606,771","14,849"
Swarm,"$63,455,690","6,903"
Shapeshift FOX Token,"$70,221,736","7,117"
Voxies,"$70,444,075","18,130"
Sologenic,"$70,886,545","3,634,410"
DFI.Money,"$71,424,793","22,219"
Kin,"$72,255,602","69,366"
Chimpion,"$71,740,270","1,711"
Rai Reflex Index,"$72,212,671","3,058"
Vectorspace AI,"$72,803,015","33,666"
Aleph.im,"$73,214,382","27,570"
ICHI,"$74,271,373","2,204"
Biswap,"$75,231,973","3,944,878"
HUNT,"$73,629,165","3,186"
CertiK,"$75,711,854","42,141"
JasmyCoin,"$76,778,701","53,357"
Bonfida,"$77,176,211","20,207"
Zelwin,"$77,434,633","60,060"
Aurory,"$78,592,997","42,787"
MovieBloc,"$71,111,818","20,563"
Sovryn,"$78,522,419","9,827"
ETNA Network,"$1,040,258","7,729"
SakeToken,"$1,040,053","92,576"
Origin Sport,"$1,042,358","1,080"
LanaCoin,"$1,044,330","1,092"
DeRace,"$68,902,117","231,839"
Dimecoin,"$1,045,384","5,225"
Snetwork,"$1,045,655","1,390"
SINOVATE,"$1,052,662","3,191"
Forefront,"$1,057,604",479
Portugal National Team Fan Token,"$1,066,585",644
Falcon Project,"$1,060,246","3,781"
VIDY,"$1,417,161","9,140"
OceanEx Token,"$1,411,643","5,112"
TenUp,"$1,420,317","8,181"
Shar Pei,"$1,427,277",397
eBoost,"$1,041,054","1,456"
Polkalokr,"$1,425,235","5,034"
Centric Swap,"$1,428,530","72,597"
VegaWallet Token,"$1,430,794",697
Elpis Battle,"$1,436,642","5,078"
Swarm,"$1,438,570","4,031"
PhoenixDAO,"$1,442,416","4,950"
DAOstack,"$1,410,767","4,160"
Global Cryptocurrency,"$1,457,616","1,113"
Cat Token,"$1,053,226","7,705"
Zap,"$1,463,235","8,686"
B-cube.ai,"$1,464,792",976
ZUSD,"$1,465,114",437
Star Atlas,"$69,148,954","327,098"
Tidal Finance,"$1,070,204","10,553"
Evedo,"$1,071,748","3,576"
XP NETWORK,"$1,071,940","11,739"
FedoraCoin,"$1,075,064","4,824"
Cornichon,"$1,078,485",451
NearPad,"$1,092,084","5,046"
Smaugs NFT,"$1,100,740","10,297"
Memetic / PepeCoin,"$1,089,695","1,411"
Chainswap,"$1,074,141","3,882"
Clube Atlético Mineiro Fan Token,"$1,067,179",574
Omlira,"$1,091,968","2,225"
OTOCASH,"$1,104,528",722
OST,"$1,107,773","5,990"
KanadeCoin,"$1,120,629","1,721"
Krios,"$1,130,325",995
ESBC,"$1,166,593","1,233"
Link Machine Learning,"$1,133,981",897
PIST TRUST,"$1,139,378",194
MakiSwap,"$1,151,367","9,367"
BitcoinHD,"$1,427,790","2,598"
Pinkcoin,"$1,144,275","2,878"
Sator,"$1,168,940","1,183"
AMEPAY,"$1,159,364","7,423"
TurtleCoin,"$1,470,822","16,527"
Global Social Chain,"$1,471,572","2,751"
FantomStarter,"$1,112,915","4,922"
The ChampCoin,"$1,484,507","1,369"
ODUWA,"$1,514,473","14,120"
ParkinGo,"$1,512,550",473
Sumokoin,"$1,512,596","3,019"
Stealth,"$1,520,820","1,728"
Spores Network,"$1,524,166","17,347"
Teloscoin,"$1,528,298","2,262"
τBitcoin,"$1,531,301","1,366"
X-CASH,"$1,576,753","5,054"
UnMarshal,"$1,520,547","11,443"
AtromG8,"$1,549,805","8,967"
FujiCoin,"$1,545,287","1,312"
TradeStars,"$1,165,639","316,587"
ODIN PROTOCOL,"$1,551,641","3,226"
Cryptonovae,"$1,558,546","76,474"
Vetri,"$1,560,034",886
Props Token,"$1,562,097","3,791"
Merculet,"$1,073,338","2,634"
CloakCoin,"$1,573,106","1,829"
Raze Network,"$1,584,806","11,373"
Genesis Vision,"$1,577,673","7,078"
CryptoZoon,"$1,473,172","19,938"
Add.xyz,"$1,170,530","3,611"
Creaticles,"$1,173,158","1,473"
UnlimitedIP,"$1,179,075","1,979"
HitChain,"$1,184,363","6,312"
Ryo Currency,"$1,195,425","2,771"
Humaniq,"$1,200,750","1,426"
ATLANT,"$1,205,392","1,401"
EarnX,"$1,563,772","15,448"
eXPerience Chain,"$1,212,150","3,324"
Antiample,"$1,197,249","1,260"
SHIBAVAX,"$1,210,407","5,371"
Buying.com,"$1,215,225","1,626"
BonusCloud,"$1,223,194","1,991"
Tadpole Finance,"$1,226,960","1,197"
Hush,"$1,227,080","1,393"
Tripio,"$1,230,374","1,855"
Beyondfi,"$1,232,773","3,269"
Coinracer,"$1,213,577","7,711"
Basis Cash,"$1,214,831","1,634"
Digitex,"$1,243,294","8,176"
KamPay,"$1,228,698","3,535"
AICHAIN,"$1,603,762",940
ASKO,"$1,609,445","2,588"
Neurotoken,"$1,180,336","1,156"
APYSwap,"$1,620,385","6,597"
2crazyNFT,"$1,620,461","8,991,615"
Feathercoin,"$1,634,561","2,696"
Realio Network,"$1,635,256","2,562"
Helmet.insure,"$1,645,294","6,264"
CHADS VC,"$1,593,155","1,798"
BOMB,"$1,648,351","2,260"
Centaur,"$1,647,762","4,243"
Drops Ownership Power,"$1,646,316","3,472"
Education Ecosystem,"$1,656,248","3,830"
yieldwatch,"$1,634,368","5,210"
SYNC Network,"$1,666,308","4,803"
AXPR,"$1,669,486","2,869"
Fabric,"$1,671,180","4,215"
ChessCoin,"$1,244,266","1,273"
Valencia CF Fan Token,"$1,670,652",947
PotCoin,"$1,250,402","3,806"
iEthereum,"$1,253,362","1,038"
Indexed Finance,"$1,260,277","4,088"
GHOSTPRISM,"$1,653,765",686
My Master War,"$1,671,830","10,534"
MAX Exchange Token,"$1,264,026",948
SEEN,"$1,253,365","1,658"
Denarius,"$1,276,199",973
CVCoin,"$1,273,986","3,131"
Auctus,"$1,267,443","2,155"
BankerDoge,"$1,277,132","2,493"
DigitalNote,"$1,271,055","6,284"
UTU Protocol,"$1,280,889","3,597"
Viacoin,"$1,684,465","5,877"
LINKA,"$1,685,366",911
Aston Villa Fan Token,"$1,278,759",563
1X2 COIN,"$1,702,194",623
Q DAO Governance token v1.0,"$1,703,893","2,316"
HiCoin,"$1,702,034","1,197"
BlackHat,"$1,295,894",857
MintMe.com Coin,"$1,282,165",900
Eden,"$1,720,490","2,767"
Everton Fan Token,"$1,284,199",468
Aston Martin Cognizant Fan Token,"$1,291,025",812
DRIFE,"$1,307,452","5,866"
Honest,"$1,685,266","1,893"
Xensor,"$1,285,374","5,684"
Davinci Coin,"$1,327,533","3,159"
Snowball,"$1,310,570","4,332"
Handy,"$1,334,102","1,584"
BlackCoin,"$1,339,171","2,953"
e-Gulden,"$1,705,456",709
Curecoin,"$1,343,464","1,456"
Shadows,"$1,371,095","6,865"
Mind Music,"$1,342,859","13,161"
SafeBlast,"$1,356,570","63,957"
Essentia,"$1,329,256","7,518"
Darwinia Commitment Token,"$1,361,773","4,342"
World Token,"$1,371,425","5,538"
MediShares,"$1,386,721","2,253"
SUBX FINANCE LAB,"$1,369,287",986
Dev Protocol,"$1,376,387","3,893"
Governor DAO,"$1,378,973","2,062"
Kuai Token,"$1,725,236","1,151"
Omni,"$1,353,577","5,265"
Sypool,"$1,718,302","2,254"
WePower,"$1,726,279","7,262"
BitCore,"$1,735,768","2,225"
Cajutel,"$1,742,293",626
ShopNEXT,"$1,743,356","4,952"
Swarm Markets,"$1,750,994",880
Timechain Swap Token,"$1,746,503",581
Primecoin,"$1,751,903","3,277"
Ideaology,"$1,755,343","5,016"
Redpanda Earth,"$1,752,099","15,373"
CropperFinance,"$1,760,222","13,449"
Skrumble Network,"$1,584,490","2,896"
Unitrade,"$1,757,542","4,798"
THEKEY,"$1,759,634","7,293"
Game.com,"$1,379,776","2,765"
WinStars.live,"$1,744,346",531
Cryptaur,"$1,771,528","1,646"
FYDcoin,"$1,772,053","8,954"
HeroesTD,"$1,778,930","4,536,278"
Open Platform,"$1,774,599","4,733"
Jarvis Network,"$1,389,185","3,953"
ColossusXT,"$1,787,377","3,241"
Spheroid Universe,"$1,816,304","4,864"
Xaurum,"$1,803,293",916
Reward Hunters Token,"$1,817,124","9,502"
xRhodium,"$1,829,173","1,415"
TransferCoin,"$1,834,118",652
Unicly Mystic Axies Collection,"$1,822,534",666
xHashtag DAO,"$1,831,186","16,897"
Medicalchain,"$1,833,534","4,814"
Waterfall DeFi,"$1,832,560","1,210"
Dynamic,"$1,775,710","1,510"
Lendingblock,"$1,836,666","1,260"
ownix,"$1,853,582","1,398"
8PAY,"$1,853,969","9,170"
Soldex,"$1,856,991","3,929"
Carbon,"$1,870,550","10,794"
NextDAO,"$1,775,548","2,415"
YOU COIN,"$1,867,204","1,433"
Modern Investment Coin,"$1,877,001",723
Bismuth,"$1,879,383","1,160"
Silva Token,"$1,896,302","7,798"
Mcashchain,"$1,887,155","1,322"
LOCGame,"$1,894,728","99,335"
Rune Shards,"$1,769,979","4,706"
Aeon,"$1,899,519","2,756"
PLATINCOIN,"$1,942,174","4,853"
MONK,"$1,901,217",964
Graviocoin,"$1,911,757",958
BitBall,"$1,854,407","7,381"
Kineko,"$1,935,905",803
Argentine Football Association Fan Token,"$1,930,687","1,368"
Neural Protocol,"$1,946,421","1,814"
BillionHappiness,"$1,938,059","13,559"
SAFE DEAL,"$1,984,875","1,104"
Eminer,"$1,919,520","3,982"
Perth Mint Gold Token,"$1,971,854","1,828"
PWR Coin,"$1,982,641","2,095"
High Performance Blockchain,"$1,958,782","5,533"
Polis,"$1,997,145","8,689"
Odyssey,"$1,885,155","4,916"
SIRIN LABS Token,"$1,998,406","3,862"
Integral,"$2,012,763","1,836"
Digix Gold Token,"$1,936,341","2,512"
Autonio,"$2,014,565","4,555"
EXRNchain,"$2,044,995","4,257"
CryptoFranc,"$2,150,534",900
VelasPad,"$1,902,909","354,238"
Baanx,"$2,025,747","1,011"
TOKPIE,"$2,118,866",899
CPChain,"$2,096,485","2,719"
CRD Network,"$2,100,900","1,797"
IoT Chain,"$2,110,327","3,613"
Elamachain,"$2,118,490","1,357"
PEPS Coin,"$2,139,697",952
S4FE,"$2,116,492","2,642"
Brokoli Network,"$2,160,182","1,099,454"
Gleec,"$2,166,901","29,579"
Spore,"$2,166,446","43,723"
Cook Finance,"$2,165,334","6,765"
DAEX,"$2,036,369","1,636"
RealTract,"$2,173,732","1,975"
Famcentral,"$2,176,621","13,457"
Fear,"$2,180,427","531,639"
EarthFund,"$2,200,717","1,571"
Kaby Arena,"$2,210,616","178,479"
Tycoon,"$2,200,564","1,499"
Horizon Protocol,"$2,216,562","4,919"
PERI Finance,"$2,017,042","23,930"
Raven Protocol,"$2,225,536","4,514"
Treat DAO [old],"$2,228,473","1,978"
Inex Project,"$2,240,191","1,699"
MIR COIN,"$2,230,551","3,811"
Patron,"$2,225,354","2,233"
Vexanium,"$2,233,917","4,032"
xSuter,"$2,256,749","49,376"
Etho Protocol,"$2,237,667","14,342"
Zenfuse,"$2,255,066","6,194"
UniMex Network,"$2,260,291","8,204"
CyberMiles,"$2,259,802","6,318"
Ycash,"$2,299,930","1,260"
Bistroo,"$2,289,999","3,892"
carVertical,"$2,308,145","4,907"
SoMee.Social [OLD],"$2,301,990","5,376"
Seele-N,"$2,186,400","3,094"
DragonVein,"$2,310,716","1,652"
Trittium,"$2,334,470","1,337"
Conceal,"$2,346,334","4,197"
SmartCash,"$2,224,094","4,667"
Cred,"$2,316,707","7,521"
Acute Angle Cloud,"$2,101,862","2,044"
YUMMY,"$2,331,906","13,768"
Plant Vs Undead,"$2,330,762","1,445,319"
Big Data Protocol,"$2,306,406","9,416"
Emercoin,"$2,358,018","1,831"
SaTT,"$2,366,887","2,891"
MetaverseX,"$2,392,263","13,932"
Ruff,"$2,388,283","3,642"
PUBLISH,"$2,397,934","1,001"
Bitspawn,"$2,413,257","145,735"
Shard,"$2,322,085","143,951"
Mist,"$2,414,967","47,751"
blockbank,"$2,428,847","6,892"
Prosper,"$2,343,454","11,531"
Lanceria,"$2,470,892","6,607"
1World,"$2,443,602",654
IG Gold,"$2,445,836","4,381"
VINchain,"$2,354,952","2,264"
ILCOIN,"$2,557,577","2,620"
Vanilla Network,"$2,452,537","3,734"
Landshare,"$2,490,485","481,429"
Whiteheart,"$2,480,882","2,586"
PLANET,"$2,487,998","1,322"
Rotharium,"$2,493,706",992
Edgeless,"$2,496,882","2,403"
HTMLCOIN,"$2,504,063","6,287"
Fatcoin,"$2,502,808",932
UREEQA,"$2,525,165","4,762"
Leverj Gluon,"$2,517,065","2,009"
Gunstar Metaverse,"$2,521,141","56,942"
DeepOnion,"$2,520,889","4,531"
KickToken,"$2,524,013","8,073"
Ditto,"$2,537,660","3,548"
Mochimo,"$2,436,637",695
SuperLauncher,"$2,463,159","4,747"
PumaPay,"$2,535,019","6,147"
Opium,"$2,534,069","7,158"
Crust Shadow,"$2,549,289","165,476"
Public Index Network,"$2,572,832","2,734"
OctoFi,"$2,575,136","6,256"
Nafter,"$2,598,490","30,383"
SmartCredit Token,"$2,586,666","1,927"
Legend of Fantasy War,"$2,584,616","7,809"
Dogey-Inu,"$2,451,647","12,793"
EOSDT,"$2,604,756",747
TopBidder,"$2,614,758","1,041"
NewYorkCoin,"$2,675,013","5,327"
ClinTex CTi,"$2,640,849","5,433"
RocketX,"$2,651,845","5,504"
Lightning Bitcoin,"$2,652,818","3,234"
Warena,"$2,653,676","20,502"
CoinMerge (BEP-20),"$2,657,990","2,399"
LiquidApps,"$2,679,394","2,041"
Hydro Protocol,"$2,689,978","4,470"
REPO,"$2,692,028","1,899"
Rainbow Token,"$2,564,540","30,209"
Kambria,"$2,692,694","5,777"
Polker,"$2,718,059","122,051"
Swerve,"$2,742,307","7,256"
HEROcoin,"$2,783,584","4,008"
Leeds United Fan Token,"$2,759,431",358
Quark,"$2,779,235","1,854"
SpaceChain,"$2,779,882","4,864"
Standard Protocol,"$2,816,512","6,528"
Cyclone Protocol,"$2,815,969","100,025"
Impossible Finance,"$2,833,408","195,017"
Ryoshi Token,"$2,832,137","44,459"
Loser Coin,"$2,787,595","9,899"
Blockzero Labs,"$2,558,952","2,946"
Unistake,"$2,627,479","5,135"
42-coin,"$2,891,617","1,900"
SunContract,"$2,852,254","2,358"
EXMO Coin,"$2,861,435","2,152"
Egretia,"$2,904,104","5,217"
BOOM,"$2,922,936","2,336"
BSC Station,"$2,746,336","20,695"
Stream Protocol,"$2,948,490","1,307"
ACENT,"$2,947,553","5,303"
TENT,"$2,951,998","1,907"
PolkaWar,"$2,961,233","152,050"
Portion,"$2,981,862","4,317"
Flamengo Fan Token,"$2,889,351","1,803"
Genesis Worlds,"$2,994,446","3,743"
Metrix Coin,"$3,014,792","4,220"
DiFy.Finance,"$2,989,173","3,712"
Ares Protocol,"$3,044,137","9,596"
Kira Network,"$3,053,508","6,942"
Verso,"$3,057,296","3,161"
Hyve,"$3,067,683","10,360"
YAM V1,"$6,461,053","1,439"
Revolve Games,"$3,108,596","11,824"
Float Protocol (Bank),"$2,899,545","1,906"
Cappasity,"$3,126,101","7,626"
QuadrantProtocol,"$3,127,694","1,762"
Isiklar Coin,"$3,077,749",725
PieDAO DOUGH v2,"$3,139,133","1,931"
Metaverse Dualchain Network Architecture,"$3,170,823","8,216"
TNC Coin,"$3,158,842","5,756"
Vabble,"$3,169,033","3,862"
Burency,"$3,172,962","7,836"
Monavale,"$2,957,576","4,100"
TronEuropeRewardCoin,"$3,183,255",808
Effect Network,"$3,173,212","9,097"
Safex Cash,"$3,037,201","1,982"
Unido EP,"$3,190,885","8,635"
Caspian,"$3,200,511","2,407"
AcknoLedger,"$3,197,287","12,946"
Tokoin,"$3,201,924","8,335"
RealFevr,"$3,204,589","14,712"
INT,"$3,204,739","5,033"
Splyt,"$3,221,767","12,874"
Lympo,"$3,225,950","9,913"
UFC Fan Token,"$3,268,096","1,564"
BOLT,"$3,258,099","6,890"
Massnet,"$3,263,832","3,072"
Pillar,"$3,156,468","3,395"
Tixl,"$3,343,860","12,810"
Arsenal Fan Token,"$3,352,022","2,353"
Tiger King,"$3,364,033","16,037"
All Sports,"$3,444,578","5,397"
WebDollar,"$3,363,960","5,653"
Polytrade,"$3,378,810","138,706"
Tokes,"$3,203,829","1,193"
DinoSwap,"$3,429,390","4,419"
Typerium,"$3,413,860","2,187"
Pawthereum,"$3,523,048","1,766"
Matrix AI Network,"$3,433,508","17,870"
Bibox Token,"$3,504,303","3,482"
YF Link,"$3,527,052","4,245"
Luna Rush,"$3,533,305","51,774"
Coreto,"$3,539,055","2,811"
Chronicle,"$3,366,680","8,958"
Razor Network,"$3,534,049","11,097"
VeriDocGlobal,"$3,596,255","2,043"
PRIVATEUM INITIATIVE,"$3,564,249","13,623"
Olyseum,"$3,488,391","4,093"
PowerTrade Fuel,"$3,607,339","4,835"
Hedget,"$3,607,757","6,742"
QLC Chain,"$3,624,229","8,075"
YUSRA,"$3,193,364","1,726"
PutinCoin,"$3,618,497","1,734"
Equalizer,"$3,624,494","9,399"
OG Fan Token,"$3,477,697","6,440"
Misbloc,"$3,668,340","1,363"
CoinMerge (ERC-20),"$3,663,928","2,767"
Howdoo,"$3,662,756","5,446"
Monero Classic,"$3,669,954","3,846"
Duck DAO (DLP Duck Token),"$3,675,032","7,633"
Sakura,"$3,712,925","5,677"
Footballcoin (XFC),"$3,709,717","1,319"
iMe Lab,"$3,642,527","33,906"
Blocknet,"$3,723,721","5,107"
LaunchZone,"$3,729,248","9,017,303"
Earneo,"$3,717,599","1,966"
ARMOR,"$3,768,486","13,422"
TFL.io,"$3,793,508","1,913"
NFT Index,"$3,785,694","3,010"
Iconic Token,"$3,591,156",857
MASQ,"$3,829,266","2,325"
Gather,"$3,800,774","5,744"
The Crypto Prophecies,"$3,617,043","14,250"
Hakka.Finance,"$3,828,684","5,090"
Ubiq,"$3,868,698","3,166"
Ispolink,"$3,830,301","12,861"
DEXA COIN,"$4,298,876","6,006"
ETHPad,"$4,424,156","291,603"
Konomi Network,"$4,444,785","17,634"
CryptoBlades,"$4,428,226","41,229"
Gridcoin,"$3,865,586","1,675"
APIX,"$4,465,363","2,991"
DeFi Yield Protocol,"$3,783,940","1,484,317"
FairGame,"$3,820,382","2,998"
1-UP Platform,"$3,880,869",757
Swingby,"$3,922,148","8,961"
Hord,"$3,919,938","8,212"
TrueChain,"$3,922,498","21,337"
Virtue Poker,"$3,926,348","20,781"
BEMIL Coin,"$3,970,263","7,011"
Time New Bank,"$3,950,742","3,884"
BitcoinZ,"$3,970,048","6,933"
Folgory Coin,"$4,008,310","2,932"
Dotmoovs,"$3,972,287","11,207"
Juggernaut,"$4,432,105","11,818"
OIN Finance,"$4,020,223","8,633"
Rhythm,"$4,064,175","5,756"
Medacoin,"$4,024,976","24,887"
SmartMesh,"$3,827,468","2,556"
WOWswap,"$3,752,166","2,358"
PulsePad,"$4,116,263","34,846"
Kromatika,"$4,103,662","3,031"
Yield Optimization Platform & Protocol,"$4,139,837","6,503"
Ripio Credit Network,"$4,500,188","9,998"
Attila,"$4,503,277","3,941"
Geeq,"$4,503,223","3,817"
KCCPAD,"$4,504,629","376,531"
TrueFeedBack,"$4,508,119","10,270"
Fenerbahçe Token,"$4,531,969","2,553"
RMRK,"$134,064,779","95,628"
Alpha Finance Lab,"$133,479,883","67,551"
Seedify.fund,"$134,741,309","162,397"
Strike,"$135,547,342","7,415"
Mirrored Twitter,"$4,065,574",783
Prometeus,"$135,846,132","18,834"
Breezecoin,"$4,236,157",998
Decentral Games,"$136,803,628","8,665"
Botto,"$4,223,123",711
CoverCompared,"$4,191,949","8,809"
Meter Governance,"$4,201,726","11,249"
Wagerr,"$4,220,063","2,325"
Adora Token,"$4,216,987",661
Nord Finance,"$4,152,500","13,870"
Databroker,"$4,675,061",985
Graphlinq Protocol,"$4,217,115","12,255"
Phantasma Energy,"$4,248,907","4,603"
XY Finance,"$4,307,090",752
CyberFi Token,"$4,522,978","10,802"
Bird.Money,"$4,523,048","8,412"
Insights Network,"$4,544,797","1,808"
Empty Set Dollar,"$4,552,710","1,770"
VIBE,"$4,528,031","16,109"
VestChain,"$4,560,033","2,283"
NaPoleonX,"$4,561,339","1,320"
